Beef Bulgogi,0,beef,"{'Flank Steak': ['Lb', 0.75], 'Soy Sauce': ['Tbsp', 2], 'Fuji Apple': ['Each', 0.25], 'Brown Sugar': ['Tbsp', 1.5], 'Dry Sherry': ['Tbsp', 0.5], 'Sesame Oil': ['Tbsp', 0.5], 'Gochujang': ['Tbsp', 0.5], 'Garlic': ['Clove', 2], 'Ginger': ['Tbsp', 0.5], 'Scallion': ['Each', 1.5]}",new,stir fry,1
Beef Stew,0,beef,"{'Beef Chuck Roast': ['Lb', 1], 'Carrot': ['Each', 3], 'Yellow Onion': ['Each', 0.5], 'Gold Potato': ['Each', 4], 'All-Purpose Flour': ['Cup', 0.25], 'Olive Oil': ['Tbsp', 1.5], 'Unsalted Butter': ['Tbsp', 1.5], 'Garlic': ['Clove', 2], 'Tomato Paste': ['Tbsp', 1], 'Red Wine': ['Cup', 0.25], 'Beef Stock': ['Cup', 8], 'Bay Leaf': ['Each', 1], 'Dry Thyme': ['Tsp', 1], 'Paprika': ['Tsp', 0.5], 'Worcestershire Sauce': ['Tbsp', 0.5], 'Granulated Sugar': ['Tsp', 0.5], 'Green Beans': ['Lb', 0.25], 'Flat-Leaf Parsley': ['Tbsp', 2]}",soup,beef stew,2
Beef Stew with Dumplings,1,beef,"{'All-Purpose Flour': ['Cup', 0.75], 'Olive Oil': ['Tbsp', 1.5], 'Unsalted Butter': ['Tbsp', 3.5], 'Beef Chuck Roast': ['Lb', 1], 'Yellow Onion': ['Each', 0.5], 'Garlic': ['Clove', 2], 'Tomato Paste': ['Tbsp', 1], 'Red Wine': ['Cup', 0.25], 'Beef Stock': ['Cup', 8], 'Bay Leaf': ['Each', 1], 'Dry Thyme': ['Tsp', 1.5], 'Paprika': ['Tsp', 0.5], 'Worcestershire Sauce': ['Tbsp', 0.5], 'Granulated Sugar': ['Tsp', 1], 'Carrot': ['Each', 2], 'Gold Potato': ['Each', 4], 'Green Beans': ['Lb', 0.25], 'Flat-Leaf Parsley': ['Tbsp', 2], 'Baking Powder': ['Tsp', 0.75], 'Milk': ['Cup', 0.25]}",soup,beef stew,2
Beef Stroganoff,0,beef,"{'Flank Steak': ['Lb', 0.5], 'Unsalted Butter': ['Tbsp', 2], 'Brown Mushrooms': ['Dry Oz', 8], 'Yellow Onion': ['Each', 0.5], 'Vegetable Oil': ['Tsp', 1], 'White Wine': ['Cup', 0.5], 'Beef Stock': ['Cup', 1], 'Worcestershire Sauce': ['Tsp', 1], 'Bay Leaf': ['Each', 1], 'All-Purpose Flour': ['Tbsp', 1], 'Sour Cream': ['Cup', 0.5], 'Egg Noodles': ['Dry Oz', 12]}",new,None,1
Beef with Broccoli,0,beef,"{'Soy Sauce': ['Tbsp', 0.66], 'Chicken Stock': ['Cup', 0.5], 'Honey': ['Cup', 0.25], 'Rice Wine Vinegar': ['Tbsp', 2], 'Brown Sugar': ['Tbsp', 2], 'Garlic': ['Clove', 3], 'Sesame Oil': ['Tbsp', 1], 'Cornstarch': ['Tbsp', 1], 'Ground Ginger': ['Tsp', 1], 'Red Pepper Flakes': ['Tsp', 0.25], 'Olive Oil': ['Tbsp', 1], 'Flank Steak': ['Lb', 0.5], 'Broccoli': ['Each', 1]}",stir fry,None,2
Beer-Battered Fish,1,seafood,"{'Beer': ['Oz', 12], 'All-Purpose Flour': ['Cup', 2.5], 'Baking Powder': ['Tsp', 1], 'Egg': ['Each', 1], 'Cod Fillet': ['Lb', 1]}",new,fried,1
Bigos,1,pork,"{'Olive Oil': ['Tbsp', 1], 'Pork Shoulder': ['Lb', 0.25], 'Kielbasa Polska': ['Lb', 0.25], 'Bacon': ['Strip', 2], 'Yellow Onion': ['Each', 0.25], 'Carrot': ['Each', 2], 'Crimini Mushrooms': ['Lb', 0.25], 'Garlic': ['Clove', 2], 'Cabbage': ['Each', 0.25], 'Sauerkraut': ['Dry Oz', 7], 'Diced Tomatoes': ['Oz', 3], 'Beef Stock': ['Cup', 1], 'Dry Thyme': ['Tsp', 0.5], 'Dry Marjoram': ['Tsp', 0.5], 'Ground Allspice': ['Tsp', 0.25], 'Bay Leaf': ['Each', 1], 'Paprika': ['Tbsp', 0.5], 'Cayenne Pepper': ['Tsp', 0.13], 'Caraway Seed': ['Tsp', 0.25], 'Kosher Salt': ['Tsp', 1], 'Pitted Prune': ['Cup', 0.5]}",new,soup,1
Black Pepper Beef with Asparagus,0,beef,"{'Flank Steak': ['Lb', 0.5], 'Garlic Powder': ['Tsp', 1], 'Asparagus': ['Lb', 1], 'Garlic': ['Clove', 3], 'Sesame Oil': ['Tbsp', 2], 'Rice Vinegar': ['Tbsp', 4], 'Soy Sauce': ['Tbsp', 8], 'Oyster Sauce': ['Tsp', 2], 'Onion Powder': ['Tsp', 1], 'Garlic Powder': ['Tsp', 2]}",new,stir fry,1
Black Pepper Chicken with Asparagus,0,chicken,"{'Chicken Breast': ['Lb', 1], 'Garlic Powder': ['Tsp', 1], 'Asparagus': ['Lb', 1], 'Garlic': ['Clove', 3], 'Sesame Oil': ['Tbsp', 2], 'Rice Vinegar': ['Tbsp', 4], 'Soy Sauce': ['Tbsp', 8], 'Oyster Sauce': ['Tsp', 2], 'Onion Powder': ['Tsp', 1], 'Garlic Powder': ['Tsp', 2]}",new,stir fry,1
Black Pepper Pork with Asparagus,0,pork,"{'Pork Tenderloin': ['Lb', 0.5], 'Garlic Powder': ['Tsp', 1], 'Asparagus': ['Lb', 1], 'Garlic': ['Clove', 3], 'Sesame Oil': ['Tbsp', 2], 'Rice Vinegar': ['Tbsp', 4], 'Soy Sauce': ['Tbsp', 8], 'Oyster Sauce': ['Tsp', 2], 'Onion Powder': ['Tsp', 1], 'Garlic Powder': ['Tsp', 2]}",new,stir fry,1
Braised Short Ribs,1,beef,"{'Olive Oil': ['Tbsp', 2], 'Beef Short Ribs': ['Lb', 2.5], 'Yellow Onion': ['Each', 0.5], 'Celery': ['Rib', 1], 'Carrot': ['Each', 2], 'Garlic': ['Clove', 1], 'Tomato Paste': ['Oz', 6], 'Red Wine': ['Cup', 1.25], 'Fresh Thyme': ['Tsp', 2], 'Bay Leaf': ['Each', 1]}",new,bbq,1
Bun Thit Nuong Cha Gio,1,pork,"{'Pork Tenderloin': ['Dry Oz', 12], 'Lemongrass': ['Each', 1], 'Garlic': ['Clove', 2], 'Soy Sauce': ['Tbsp', 3], 'Fish Sauce': ['Tbsp', 4], 'Honey': ['Tbsp', 1.5], 'Brown Sugar': ['Tbsp', 1], 'Granulated Sugar': ['Tbsp', 3], 'Lime Juice': ['Tbsp', 1.5], 'Thai Red Chili': ['Each', 2], 'Vermicelli': ['Dry Oz', 6], 'Spring Roll': ['Each', 4], 'Lettuce': ['Each', 1], 'Carrot': ['Each', 1], 'Cucumber': ['Each', 1], 'Canola Oil': ['Tbsp', 2]}",new,None,1
Burgers,0,beef,"{'Hamburger': ['Each', 2], 'American Cheese': ['Slice', 2], 'Hamburger Bun': ['Each', 2], 'French Fries': ['Each', 0.5]}",burgers,None,1
Butter Chicken,0,chicken,"{'Olive Oil': ['Tbsp', 1], 'Yellow Onion': ['Each', 0.25], 'Garlic': ['Clove', 4], 'Ginger': ['Tbsp', 2], 'Butter': ['Tbsp', 2], 'Chicken Stock': ['Cup', 0.75], 'Ground Cinnamon': ['Tsp', 2], 'Kosher Salt': ['Tsp', 1.5], 'Ground Cumin': ['Tsp', 2], 'Garam Masala': ['Tsp', 2], 'Turmeric': ['Tsp', 1], 'Chicken Breast': ['Each', 3], 'Lemon Juice': ['Tbsp', 2], 'Heavy Cream': ['Cup', 1]}",new,curry,1
Buttermilk Popcorn Chicken,1,chicken,"{'Chicken Breast': ['Lb', 1.5], 'Buttermilk': ['Cup', 1], 'Kosher Salt': ['Tbsp', 1.5], 'Egg': ['Each', 2], 'Cornstarch': ['Cup', 0.25], 'Garlic Powder': ['Tsp', 3], 'Onion Powder': ['Tsp', 1], 'Paprika': ['Tsp', 1], 'Cayenne Pepper': ['Tsp', 1], 'Ground Cumin': ['Tsp', 0.5], 'Sesame Seed': ['Tsp', 3], 'Sour Cream': ['Cup', 0.5], 'Mayonnaise': ['Cup', 0.25], 'Honey': ['Tsp', 3], 'Sesame Oil': ['Tsp', 4], 'Soy Sauce': ['Tsp', 3], 'Sriracha': ['Tsp', 3]}",new,fried,1
Cabbage Sauteed with Chicken,0,chicken,"{'Olive Oil': ['Tbsp', 1.5], 'Chicken Thigh': ['Lb', 1], 'Cabbage': ['Each', 1], 'Paprika': ['Tbsp', 0.5], 'Tomato Paste': ['Tbsp', 1], 'Chicken Stock': ['Cup', 0.5]}",new,stir fry,1
Caesar Salad,0,veggie,"{'French Loaf': ['Each', 0.5], 'Olive Oil': ['Tbsp', 1], 'Romaine Heart': ['Each', 1], 'Shredded Parmesan': ['Tbsp', 4], 'Mayonnaise': ['Cup', 0.33], 'Lemon Juice': ['Tsp', 2.25], 'Dijon Mustard': ['Tsp', 0.5], 'Worcestershire Sauce': ['Tsp', 0.4], 'Anchovies': ['Each', 2], 'Garlic': ['Clove', 1]}",new,None,1
Carnitas,0,pork,"{'Orange': ['Each', 1], 'Lime': ['Each', 1], 'Yellow Onion': ['Each', 1], 'Garlic': ['Clove', 3], 'Tomato Paste': ['Tbsp', 4], 'Ground Cumin': ['Tsp', 1], 'Chili Powder': ['Tsp', 1], 'Oregano': ['Tsp', 1], 'Pork Shoulder': ['Lb', 5]}",tacos,None,1
Cheese Steaks,0,beef,"{'Chip Steak': ['Each', 6], 'Sub Roll': ['Each', 2], 'American Cheese': ['Slice', 2], 'Yellow Onion': ['Each', 0.25], 'French Fries': ['Each', 0.5]}",sandwich,None,2
Chicken and Potato Stew,0,chicken,"{'Canola Oil': ['Cup', 0.25], 'Chicken Thigh': ['Lb', 0.5], 'White Onion': ['Each', 0.25], 'Carrot': ['Each', 1], 'Red Bell Pepper': ['Each', 0.5], 'Ground Cumin': ['Tsp', 0.5], 'Dry Thyme': ['Tsp', 0.5], 'Garlic': ['Clove', 3], 'Chipotle Chiles': ['Oz', 1], 'Jalapeno Chile': ['Each', 0.5], 'Gold Potato': ['Lb', 0.5], 'Chicken Stock': ['Cup', 2], 'Crushed Tomatoes': ['Oz', 7], 'Capers': ['Tbsp', 1], 'Lime': ['Each', 1]}",new,chicken soup,1
Chicken Chasseur,1,chicken,"{'Chicken Thigh Skin-on': ['Lb', 2], 'All-Purpose Flour': ['Tbsp', 2], 'Olive Oil': ['Tbsp', 1], 'Butter': ['Tbsp', 0.5], 'Shallot': ['Each', 1], 'Brown Mushrooms': ['Lb', 0.25], 'Garlic': ['Clove', 2], 'Tomato Paste': ['Tbsp', 1], 'White Wine': ['Cup', 0.5], 'Fresh Thyme': ['Tsp', 1], 'Bay Leaf': ['Each', 2], 'Chicken Stock': ['Cup', 1.5], 'Cornflour': ['Tbsp', 1], 'Curly Parsley': ['Tbsp', 4]}",new,None,1
Chicken Curry with Rice,0,chicken,"{'Chicken Breast': ['Lb', 1], 'Yellow Curry Powder': ['Tbsp', 1], 'Garlic Powder': ['Tsp', 1.5], 'Ground Ginger': ['Tsp', 1], 'Broccoli': ['Each', 1], 'Coconut Oil': ['Tbsp', 2], 'Rice': ['Cup', 1]}",curry,None,2
Chicken Enchilada,0,chicken,"{'Chicken Breast': ['Lb', 1], 'Enchilada Sauce': ['Oz', 14], 'Corn Tortilla': ['Each', 6], 'Monterey Cheese': ['Cup', 3]}",new,casserole,1
Chicken Fried Steak Bites,1,beef,"{'Cube Steak': ['Lb', 1], 'Egg': ['Each', 1], 'Milk': ['Cup', 0.5], 'All-Purpose Flour': ['Cup', 2.25], 'Kosher Salt': ['Tbsp', 1.5], 'Paprika': ['Tsp', 0.5], 'Turmeric': ['Tsp', 0.13], 'Onion Powder': ['Tsp', 0.13], 'Garlic Powder': ['Tsp', 0.13], 'Cornstarch': ['Tsp', 0.13], 'Vegetable Oil': ['Cup', 4], 'Whole Milk': ['Cup', 3]}",new,fried,1
Chicken Mango Curry,1,chicken,"{'Coconut Oil': ['Tbsp', 2], 'Yellow Onion': ['Each', 1], 'Chicken Breast': ['Lb', 1], 'Yellow Curry Powder': ['Tbsp', 1], 'Cayenne Pepper': ['Tsp', 1], 'Garlic': ['Clove', 4], 'Ginger': ['Each', 1], 'Zucchini': ['Each', 2], 'Broccoli': ['Each', 1], 'Coconut Milk': ['Oz', 14], 'Mango': ['Each', 1], 'Lime': ['Each', 1], 'Rice': ['Cup', 1]}",curry,None,1
Chicken Noodle Soup,0,chicken,"{'Chicken Breast': ['Lb', 1], 'Chicken Stock': ['Cup', 2], 'Bay Leaf': ['Each', 1], 'Peppercorns': ['Tsp', 0.25], 'Garlic': ['Clove', 1], 'Carrot': ['Each', 2], 'Celery': ['Rib', 1], 'Fresh Thyme': ['Tsp', 0.5], 'Flat-Leaf Parsley': ['Tbsp', 0.5], 'Kosher Salt': ['Tsp', 1], 'Olive Oil': ['Tbsp', 0.5], 'Vidalia Onion': ['Each', 0.25], 'Egg Noodles': ['Dry Oz', 3]}",soup,chicken soup,2
Chicken Noodle Soup with Fennel,0,chicken,"{'Chicken Breast': ['Lb', 1], 'Chicken Stock': ['Cup', 2], 'Bay Leaf': ['Each', 1], 'Peppercorns': ['Tsp', 0.25], 'Garlic': ['Clove', 1], 'Carrot': ['Each', 2], 'Celery': ['Rib', 1], 'Fennel': ['Each', 0.25], 'Fresh Thyme': ['Tsp', 0.5], 'Flat-Leaf Parsley': ['Tbsp', 0.5], 'Kosher Salt': ['Tsp', 1], 'Olive Oil': ['Tbsp', 0.5], 'Vidalia Onion': ['Each', 0.25], 'Egg Noodles': ['Dry Oz', 3]}",new,chicken soup,1
Chicken Paprikash,1,chicken,"{'Sour Cream': ['Cup', 0.5], 'Chicken Thigh Skin-on': ['Each', 6], 'Yellow Onion': ['Each', 1], 'Garlic': ['Clove', 4], 'Unsalted Butter': ['Tbsp', 3], 'Paprika': ['Tbsp', 3], 'Cayenne Pepper': ['Tsp', 0.25], 'Crushed Tomatoes': ['Oz', 15], 'Egg Noodles': ['Dry Oz', 12]}",None,None,2
Chicken Pot Pie,1,chicken,"{'Butter': ['Cup', 0.5], 'Carrot': ['Each', 2], 'Celery': ['Rib', 2], 'Yellow Onion': ['Each', 0.5], 'All-Purpose Flour': ['Cup', 0.5], 'Celery Seed': ['Tsp', 0.5], 'Garlic Powder': ['Tsp', 1], 'Fresh Thyme': ['Tsp', 1], 'Whole Milk': ['Cup', 1], 'Chicken Stock': ['Cup', 2], 'Chicken Breast': ['Each', 3], 'Puff Pastry': ['Each', 1], 'Egg': ['Each', 1]}",new,pie,1
Chicken Salad,0,chicken,"{'Chicken Breast': ['Each', 2], 'Mayonnaise': ['Cup', 1], 'Lemon Juice': ['Tsp', 2], 'Celery': ['Rib', 1]}",new,None,1
Chicken Wild Rice Soup,0,chicken,"{'Olive Oil': ['Tbsp', 1], 'Butter': ['Tbsp', 0.5], 'Yellow Onion': ['Each', 0.5], 'Carrot': ['Each', 2], 'Celery': ['Rib', 1], 'All-Purpose Flour': ['Tbsp', 2], 'Dry Sherry': ['Tbsp', 2], 'Fresh Thyme': ['Tbsp', 0.5], 'Paprika': ['Tsp', 0.5], 'Chicken Stock': ['Cup', 3], 'Chicken Breast': ['Each', 1], 'Wild Rice': ['Cup', 1.5], 'Whole Milk': ['Cup', 0.5]}",new,chicken soup,1
Chicken with Broccoli,0,chicken,"{'Soy Sauce': ['Tbsp', 0.66], 'Chicken Stock': ['Cup', 0.5], 'Honey': ['Cup', 0.25], 'Rice Wine Vinegar': ['Tbsp', 2], 'Brown Sugar': ['Tbsp', 2], 'Garlic': ['Clove', 3], 'Sesame Oil': ['Tbsp', 1], 'Cornstarch': ['Tbsp', 1], 'Ground Ginger': ['Tsp', 1], 'Red Pepper Flakes': ['Tsp', 0.25], 'Olive Oil': ['Tbsp', 1], 'Chicken Breast': ['Lb', 1], 'Broccoli': ['Each', 1]}",stir fry,None,2
Chicken with Sage Dumplings,1,chicken,"{'Whole Chicken': ['Each', 1], 'Yellow Onion': ['Each', 1], 'Whole Cloves': ['Each', 4], 'Carrot': ['Each', 3], 'Celery': ['Rib', 2], 'Garlic': ['Clove', 2], 'Curly Parsley': ['Tbsp', 1], 'Bay Leaf': ['Each', 1], 'Dry Thyme': ['Tsp', 1], 'Peppercorns': ['Tsp', 0.25], 'Chicken Stock': ['Cup', 4], 'Whole Milk': ['Cup', 2.25], 'Butter': ['Tbsp', 4], 'All-Purpose Flour': ['Cup', 2.25], 'Baking Powder': ['Tsp', 2], 'Fresh Sage': ['Tbsp', 1], 'Shortening': ['Tbsp', 4]}",None,None,1
Chik-fil-a Chicken Nuggets,0,chicken,"{'Chicken Breast': ['Each', 2], 'Egg': ['Each', 2], 'Milk': ['Cup', 1], 'All-Purpose Flour': ['Cup', 2], 'Kosher Salt': ['Tsp', 4], 'Paprika': ['Tbsp', 1], 'Canola Oil': ['Cup', 8], 'Dijon Mustard': ['Cup', 0.5], 'Honey': ['Cup', 0.25]}",new,fried,1
Chik-fil-a Sandwich,0,chicken,"{'Hamburger Bun': ['Each', 4], 'Lettuce': ['Lb', 0.2], 'Dill Pickle Slices': ['Each', 20], 'Chicken Breast': ['Each', 2], 'Milk': ['Cup', 1.5], 'Peanut Oil': ['Cup', 1], 'Egg': ['Each', 1], 'All-Purpose Flour': ['Cup', 0.5], 'Confectioners Sugar': ['Tbsp', 1]}",new,burgers,1
Chinese Meat Pie,1,beef,"{'Ground Beef': ['Lb', 0.33], 'Scallion': ['Each', 1], 'Sichuan Peppercorn Powder': ['Tsp', 0.25], 'Kosher Salt': ['Tsp', 0.25], 'Green Onion': ['Each', 1], 'Ginger': ['Each', 0.25], 'Light Soy Sauce': ['Tbsp', 0.5], 'Egg': ['Each', 0.5], 'Oyster Sauce': ['Tbsp', 0.5], 'Sesame Oil': ['Tbsp', 0.5], 'Granulated Sugar': ['Tsp', 0.25], 'Shaoxing': ['Tbsp', 0.5], 'White Onion': ['Each', 0.25], 'All-Purpose Flour': ['Cup', 1], 'Vegetable Oil': ['Tbsp', 0.5]}",new,dumplings,1
Chorizo Burritos,0,pork,"{'Red Potato': ['Dry Oz', 10], 'Chorizo': ['Dry Oz', 6], 'Poblano Chile': ['Each', 1], 'Olive Oil': ['Tsp', 2], 'Burrito Tortilla': ['Each', 4], 'Queso Fresco': ['Dry Oz', 2]}",tacos,None,1
Chow Fun Noodles with Beef,0,beef,"{'Sirloin': ['Lb', 0.75], 'Cornstarch': ['Tbsp', 2], 'Granulated Sugar': ['Tsp', 2], 'Kosher Salt': ['Tsp', 0.5], 'Rice Noodles': ['Dry Oz', 8], 'Vegetable Oil': ['Tbsp', 3], 'Yellow Onion': ['Each', 1], 'Red Bell Pepper': ['Each', 1], 'Scallion': ['Each', 3], 'Dark Soy Sauce': ['Tbsp', 3], 'Sesame Oil': ['Tsp', 1]}",new,stir fry,1
Clam Chowder,0,seafood,"{'Bacon': ['Strip', 8], 'Butter': ['Tbsp', 2], 'Celery': ['Rib', 2], 'Leek': ['Each', 1], 'Yellow Onion': ['Each', 1], 'Garlic': ['Clove', 3], 'Gold Potato': ['Each', 4], 'Chicken Stock': ['Cup', 1], 'Clam Juice': ['Each', 1], 'White Pepper': ['Tsp', 0.5], 'Dry Thyme': ['Tsp', 0.5], 'All-Purpose Flour': ['Cup', 0.33], 'Half-and-Half': ['Cup', 2], 'Clams': ['Each', 3], 'Bay Leaf': ['Each', 1]}",soup,potato soup,1
Coconut Curry Ramen,0,veggie,"{'Red Curry Paste': ['Tbsp', 0.5], 'Lemongrass Paste': ['Tbsp', 0.5], 'Ginger Paste': ['Tsp', 1], 'Garlic': ['Clove', 1], 'Coconut Milk': ['Oz', 7], 'Vegetable Stock': ['Cup', 0.33], 'Fresh Ramen': ['Each', 2]}",new,soup,1
Coconut Turmeric Chicken Soup,0,chicken,"{'Yellow Onion': ['Each', 0.5], 'Garlic': ['Clove', 1], 'Ginger': ['Tbsp', 0.25], 'Coconut Oil': ['Tbsp', 1], 'Turmeric': ['Tbsp', 0.25], 'Ground Cumin': ['Tsp', 0.25], 'Red Pepper Flakes': ['Tsp', 0.13], 'Carrot': ['Each', 2], 'Celery': ['Rib', 2], 'Chicken Breast': ['Lb', 0.5], 'Chicken Stock': ['Cup', 2], 'Coconut Milk': ['Oz', 7], 'Kosher Salt': ['Tsp', 0.5]}",new,chicken soup,1
Cod with Gnocchi,0,seafood,"{'Cod Fillet': ['Each', 2], 'Butter': ['Tbsp', 2], 'Olive Oil': ['Tbsp', 1], 'Zucchini': ['Each', 1], 'Gnocchi': ['Lb', 0.5], 'Chicken Stock': ['Cup', 0.5], 'Lemon': ['Each', 1], 'Parmesan Cheese': ['Cup', 0.33]}",new,None,1
Coq au Vin,1,chicken,"{'Bacon': ['Strip', 8], 'Chicken Thigh Skin-on': ['Each', 8], 'Garlic': ['Clove', 4], 'Shallot': ['Each', 4], 'Dry Thyme': ['Tsp', 2], 'Bay Leaf': ['Each', 1], 'Tomato Paste': ['Tbsp', 2], 'Chicken Stock': ['Cup', 4], 'Red Wine': ['Cup', 1.5], 'Carrot': ['Each', 3], 'Butter': ['Tbsp', 3], 'All-Purpose Flour': ['Cup', 0.25], 'Crimini Mushrooms': ['Dry Oz', 8]}",None,None,1
Corned Beef with Cabbage,1,beef,"{'Corned Beef Brisket': ['Lb', 3], 'Red Potato': ['Each', 10], 'Carrot': ['Each', 5], 'Cabbage': ['Each', 1]}",soup,beef stew,1
Cottage Pie,1,beef,"{'Olive Oil': ['Tbsp', 1], 'Ground Beef': ['Lb', 1.5], 'Yellow Onion': ['Each', 1], 'Carrot': ['Each', 2], 'Celery': ['Rib', 3], 'Garlic': ['Clove', 3], 'All-Purpose Flour': ['Cup', 0.25], 'Tomato Paste': ['Tbsp', 1], 'Dry Thyme': ['Tsp', 0.25], 'Paprika': ['Tsp', 0.5], 'Beef Stock': ['Cup', 1], 'Red Wine': ['Cup', 0.75], 'Worcestershire Sauce': ['Tbsp', 4], 'Bay Leaf': ['Each', 2], 'Gold Potato': ['Each', 4], 'Milk': ['Cup', 0.75], 'Butter': ['Tbsp', 2]}",pie,None,1
Crab Alfredo Pasta,0,seafood,"{'Alfredo Sauce': ['Cup', 2], 'Lump Crab Meat': ['Each', 0.5], 'Fettuccine': ['Lb', 0.5]}",new,pasta,1
Creamy Roasted Tomato Soup,1,veggie,"{'Roma Tomato': ['Lb', 0.5], 'Cherry Tomato': ['Lb', 0.25], 'Garlic': ['Clove', 2], 'Olive Oil': ['Tbsp', 1], 'Yellow Onion': ['Each', 0.25], 'Red Bell Pepper': ['Each', 0.25], 'Russet Potato': ['Each', 0.25], 'Tomato Paste': ['Tbsp', 1], 'Vegetable Stock': ['Cup', 1], 'Fresh Basil': ['Cup', 0.5]}",new,soup,1
